text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
d)ydy,"Masekhet: 71016, Page: 003, Side: 1, Line: 02, Word: 4",p,P01,,,,dy,ˀydy,,,"of, genitive particle",this one,,,דאידי,)ydy,preposition | preposition independent,"of, genitive particle | this one"
db(y,"Masekhet: 71016, Page: 003, Side: 1, Line: 03, Word: 0",c,verb G,,,,dy,bˁy,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,דבעי,b(y,conjunction | verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
mstr;,"Masekhet: 71016, Page: 003, Side: 1, Line: 03, Word: 1",verb G,,,,,str,,,,to destroy,(intrans.) to come apart,"to keep loose, unravel (hair)",,מסתר;,str#2,verb peal,"to destroy | (intrans.) to come apart | to keep loose, unravel (hair)"
d)',"Masekhet: 71016, Page: 003, Side: 1, Line: 03, Word: 2",c,verb G,,,,dy,ˀmr,,,to say,to command,to think,idiomatic and special usages:,דא',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
rxm',"Masekhet: 71016, Page: 003, Side: 1, Line: 03, Word: 3",noun sg. emphatic,,,,,"rḥmn, rḥmnˀ",,,,merciful,,,,רחמ',rxmn),noun sg. emphatic,merciful
"""whymy'","Masekhet: 71016, Page: 003, Side: 1, Line: 03, Word: 4",No data,,,,,,,,,,,,,והימי',None,No data,
"hr)$ny'""","Masekhet: 71016, Page: 003, Side: 1, Line: 03, Word: 5",No data,,,,,,,,,,,,,הראשני',None,No data,
"""yplw","Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 0",No data,,,,,,,,,,,,,יפלו,None,No data,
ky,"Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 1",No data,,,,,,,,,,,,,כי,None,No data,
Tm',"Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 2",No data,,,,,,,,,,,,,טמ',None,No data,
"nzrw"";","Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 3",No data,,,,,,,,,,,,,נזרו;,None,No data,
ht',"Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 4",a,,,,,htm,,,,there,,,,הת',htm,adverb,there
hw';,"Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 5",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הו';,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
dylm',"Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 6",c,,,,,dlmh,,,,"lest, perhaps",,,,דילמ',dylm),conjunction,"lest, perhaps"
)ty,"Masekhet: 71016, Page: 003, Side: 1, Line: 04, Word: 7",verb G,,,,,ˀty,,,,to come,to occur; w.,: to befall,to be fitting,אתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
lm(br,"Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 0",p02,verb G,,,,l_,ˁbr,,,to cross over,"to go away, vanish",":  to violate, transgress",to be exchangeable,למעבר,(br,preposition with pronominal suffix | verb peal,"to cross over | to go away, vanish | :  to violate, transgress | to be exchangeable"
(l,"Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 1",p01,,,,,ˁl,,,,upon; against; to,,,,על,(l,preposition independent,upon; against; to
nzyrwty';,"Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 2",noun sg. emphatic,,,,,"nzyrw, nzyrwtˀ",,,,nazirite vow,,,,נזירותי';,nzyrwt),noun sg. emphatic,nazirite vow
"""nzyr","Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 3",No data,,,,,,,,,,,,,נזיר,None,No data,
"Thwr""","Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 4",No data,,,,,,,,,,,,,טהור,None,No data,
l)w,"Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 5",a,,,,,"lˀw, lw",,,,"not, it is not",,,,לאו,l)w,adverb,"not, it is not"
"""xwT'""","Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 6",No data,,,,,,,,,,,,,חוט',None,No data,
qry;,"Masekhet: 71016, Page: 003, Side: 1, Line: 05, Word: 7",verb G,,,,,qry,,,,to call,to read,to cry out,"to proclaim, to declare",קרי;,qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
nhy,"Masekhet: 71016, Page: 003, Side: 1, Line: 06, Word: 0",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,נהי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
nmy,"Masekhet: 71016, Page: 003, Side: 1, Line: 06, Word: 1",a,,,,,nmy,,,,also,,,,נמי,nmy,adverb,also
dtpys,"Masekhet: 71016, Page: 003, Side: 1, Line: 06, Word: 2",c,verb G,,,,dy,tps,,,"to grab, seize",to be valid,to take possession,,דתפיס,tps,conjunction | verb peal,"to grab, seize | to be valid | to take possession"
"""b$(rw"";","Masekhet: 71016, Page: 003, Side: 1, Line: 06, Word: 3",No data,,,,,,,,,,,,,בשערו;,None,No data,
