masekhet,page,side,line,target,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
5330015,42,d,57,Yerushalmi,0.0,0.0,0.5,0.6667,1.3333,0.0,0.0,12.0,3.3333,0.0,0.125
5330015,43,a,30,Yerushalmi,0.5,0.0,0.0,0.5,1.0,0.0,1.0,2.0,5.0,0.0,0.0
5330015,43,a,32,Yerushalmi,0.3333,0.3333,0.0,0.5,0.6667,0.0,0.0,3.0,3.3333,0.0,0.0
5330015,43,a,39,Yerushalmi,0.0,0.0,0.4286,1.0,1.1429,0.0,0.0,7.0,3.0,0.0,0.25
5330015,43,a,40,Yerushalmi,0.2,0.0,0.8,0.7,0.9,0.0,0.5,10.0,4.2,0.0,0.2222
5330015,43,a,41,Yerushalmi,0.0,0.0,0.6667,1.0,1.0,0.0,0.0,6.0,3.5,0.0,0.1667
5330015,43,b,51,Yerushalmi,0.0,0.0,0.0,0.1111,0.2222,0.0,0.0,9.0,4.3333,0.0,0.0
5330015,43,c,21,Yerushalmi,0.0,0.0,0.5714,0.8571,0.7143,0.0,0.0,7.0,3.5714,0.0,0.2
5330015,43,c,22,Yerushalmi,0.0667,0.0,0.4667,0.7333,0.4667,0.0,0.0,15.0,3.4667,0.1429,0.2857
5330015,43,c,23,Yerushalmi,0.0,0.0,0.5,0.5,1.0,0.0,0.0,2.0,4.5,0.0,0.0
5330015,43,d,10,Yerushalmi,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2.0,4.5,0.0,0.0
5330015,43,d,19,Yerushalmi,0.0,0.0,0.6,1.0,0.8,0.0,0.0,5.0,3.6,0.0,0.0
5330015,43,d,20,Yerushalmi,0.0,0.0769,0.5385,0.7692,1.3077,0.0,0.0,13.0,3.6154,0.0,0.1176
5330015,43,d,21,Yerushalmi,0.0714,0.0714,0.5,0.8571,1.1429,0.0,0.0,14.0,3.4286,0.125,0.3125
5330015,43,d,22,Yerushalmi,0.0667,0.1333,0.1333,0.8667,0.8667,0.0,0.0,15.0,3.2667,0.1538,0.0769
5330015,43,d,23,Yerushalmi,0.3333,0.0,0.5,0.8333,1.0,0.0,0.0,12.0,4.1667,0.0833,0.25
5330015,43,d,24,Yerushalmi,0.125,0.0,0.3125,0.8125,1.0625,0.0,0.0,16.0,3.75,0.1176,0.1765
5330015,43,d,25,Yerushalmi,0.1,0.0,0.5,1.0,1.2,0.0,1.0,10.0,4.5,0.1667,0.1667
5330015,43,d,37,Yerushalmi,0.0833,0.0833,0.8333,0.75,0.75,0.0,0.0,12.0,4.9167,0.3333,0.1111
5330015,43,d,38,Yerushalmi,0.0,0.0,0.8571,0.8571,0.7143,0.0,0.0,7.0,4.8571,0.2,0.2
